S,I,R,N,New,Week
70000,0,30000,30000,0,-2
69982,18,30000,30018,18,-1
69960,40,30000,30040,22,0
69942,58,30000,30058,18,1
69902,80,30018,30098,40,2
69844,98,30058,30156,58,3
69764,120,30116,30236,80,4
69666,138,30196,30334,98,5
69546,160,30294,30454,120,6
69408,178,30414,30592,138,7
69248,200,30552,30752,160,8
69070,218,30712,30930,178,9
68870,240,30890,31130,200,10
68652,258,31090,31348,218,11
68412,280,31308,31588,240,12
68154,298,31548,31846,258,13
67874,320,31806,32126,280,14
67576,338,32086,32424,298,15
67256,360,32384,32744,320,16
66918,378,32704,33082,338,17
66558,400,33042,33442,360,18
66180,418,33402,33820,378,19
65780,440,33780,34220,400,20
65362,458,34180,34638,418,21
64922,480,34598,35078,440,22
64464,498,35038,35536,458,23
63984,520,35496,36016,480,24
63486,538,35976,36514,498,25
62966,560,36474,37034,520,26
62428,578,36994,37572,538,27
61868,600,37532,38132,560,28
61290,618,38092,38710,578,29
60690,640,38670,39310,600,30
60072,658,39270,39928,618,31
59432,680,39888,40568,640,32
58774,698,40528,41226,658,33
58094,720,41186,41906,680,34
57396,738,41866,42604,698,35
56676,760,42564,43324,720,36
55938,778,43284,44062,738,37
55178,800,44022,44822,760,38
54400,818,44782,45600,778,39
53600,840,45560,46400,800,40
52782,858,46360,47218,818,41
51942,880,47178,48058,840,42
51084,898,48018,48916,858,43
50204,920,48876,49796,880,44
49306,938,49756,50694,898,45
48386,960,50654,51614,920,46
47448,978,51574,52552,938,47
46488,1000,52512,53512,960,48
45510,1018,53472,54490,978,49
44510,1040,54450,55490,1000,50
43492,1058,55450,56508,1018,51
42452,1080,56468,57548,1040,52
41394,1098,57508,58606,1058,53
40314,1120,58566,59686,1080,54
39216,1138,59646,60784,1098,55
38096,1160,60744,61904,1120,56
36958,1178,61864,63042,1138,57
35798,1200,63002,64202,1160,58
34620,1218,64162,65380,1178,59
33420,1240,65340,66580,1200,60
32202,1258,66540,67798,1218,61
30962,1280,67758,69038,1240,62
29704,1298,68998,70296,1258,63
28424,1320,70256,71576,1280,64
27126,1338,71536,72874,1298,65
25806,1360,72834,74194,1320,66
24468,1378,74154,75532,1338,67
23108,1400,75492,76892,1360,68
21730,1418,76852,78270,1378,69
20330,1440,78230,79670,1400,70
18912,1458,79630,81088,1418,71
17472,1480,81048,82528,1440,72
16014,1498,82488,83986,1458,73
14534,1520,83946,85466,1480,74
13036,1538,85426,86964,1498,75
11516,1560,86924,88484,1520,76
9978,1578,88444,90022,1538,77
8418,1600,89982,91582,1560,78
6840,1618,91542,93160,1578,79
5240,1640,93120,94760,1600,80
3622,1658,94720,96378,1618,81
1982,1680,96338,98018,1640,82
324,1698,97978,99676,1658,83
